serie1,serie2,best_pearson,best_spearman,best_kendall,lag_pearson,lag_spearman,lag_kendall
^VIX.PctChange,BTC-USD.PctChange,-0.33035487319664936,-0.3017163589171987,0.2054753823276958,0,0,0
^VIX.PctChange,ETH-USD.PctChange,-0.3463863030635354,-0.3271985909636392,0.22439781862309482,0,0,0
^VIX.PctChange,SOL-USD.PctChange,-0.24903999532104756,-0.2523190227546207,0.17142894946616738,0,0,0
^VIX.PctChange,XRP-USD.PctChange,-0.2320076747372197,-0.26154356970905296,0.17850621969005043,0,0,0
^VIX.PctChange,ADA-USD.PctChange,-0.31542708454987317,-0.314700627700435,0.215275789836907,0,0,0
BTC-USD.PctChange,ETH-USD.PctChange,0.8195594754692601,0.8211913739423234,0.6400310318076027,0,0,0
BTC-USD.PctChange,SOL-USD.PctChange,0.5551816005971256,0.599265411548846,0.4465344807885447,0,0,0
BTC-USD.PctChange,XRP-USD.PctChange,0.5613771574787139,0.6705354557603537,0.5063585136004715,0,0,0
BTC-USD.PctChange,ADA-USD.PctChange,0.6644432810906662,0.7216280723012105,0.5419921698811049,0,0,0
ETH-USD.PctChange,SOL-USD.PctChange,0.6155982889262526,0.6468162944856102,0.4844846975902238,0,0,0
ETH-USD.PctChange,XRP-USD.PctChange,0.5922869057608562,0.6874027382399278,0.5229665445841678,0,0,0
ETH-USD.PctChange,ADA-USD.PctChange,0.7151919382708477,0.7517715830217334,0.5708493453852214,0,0,0
SOL-USD.PctChange,XRP-USD.PctChange,0.45742127799659593,0.5605564891411242,0.41354935320331243,0,0,0
SOL-USD.PctChange,ADA-USD.PctChange,0.5677041330054357,0.6378932397204622,0.47684702401356743,0,0,0
XRP-USD.PctChange,ADA-USD.PctChange,0.6091170506319624,0.7032557194823649,0.5354586513191525,0,0,0
